txId,Degree,InDegree,outDgree,Between,PageRank,class
230425980,2,1,1,0.0,4.639401930276042e-06,unknown
5530458,2,1,1,0.0,5.935543764689101e-06,unknown
232022460,3,1,2,0.0,7.4424584573067215e-06,unknown
232438397,161,160,1,4.907565994493711e-08,0.0003506357650706342,2
230460314,10,2,8,0.0,2.4030026904601184e-06,unknown
230459870,10,4,6,0.0,3.1241535375624036e-06,unknown
230333930,2,0,2,0.0,1.7877641509957557e-06,unknown
230595899,3,2,1,0.0,1.1776720303079827e-05,unknown
232013274,2,0,2,0.0,1.7877641509957557e-06,unknown
232029206,60,59,1,1.0796645187886164e-07,8.52290876511249e-05,2
232344069,2,0,2,0.0,1.7877641509957557e-06,2
27553029,2,1,1,3.4352961961455975e-08,2.5655121234293693e-06,2
36411953,2,1,1,0.0,6.056682536384229e-06,unknown
230405052,3,2,1,0.0,1.7075212353366304e-05,unknown
34194980,3,1,2,0.0,3.885944583967232e-06,unknown
5529846,4,2,2,0.0,1.1987493161284388e-05,unknown
3881097,2,1,1,0.0,1.7944213926749339e-06,2
232457116,2,1,1,0.0,3.350516966596618e-06,2
230409257,2,1,1,0.0,7.4424584573067215e-06,unknown
32877982,2,1,1,0.0,7.4424584573067215e-06,unknown
230351738,2,0,2,0.0,1.7877641509957557e-06,unknown
195218118,2,1,1,0.0,2.5655121234293693e-06,unknown
88008478,1,0,1,0.0,1.7877641509957557e-06,unknown
232012569,10,8,2,0.0,9.565243875331893e-06,unknown
232412408,2,1,1,0.0,3.885944583967232e-06,unknown
232412405,1,1,0,0.0,5.935543764689101e-06,2
232038018,2,0,2,0.0,1.7877641509957557e-06,unknown
232470342,7,6,1,0.0,3.461752742829544e-05,2
2925426,3,1,2,0.0,2.4268593521968864e-06,unknown
230550393,21,21,0,0.0,3.26349777951407e-05,2
232051089,3,1,2,0.0,2.5655121234293693e-06,2
232470704,3,3,0,0.0,8.877628958653429e-06,2
233591710,2,1,1,0.0,4.615111304151239e-06,unknown
234439913,3,1,2,0.0,5.392859276584852e-06,unknown
232945017,3,1,2,0.0,4.389074100258596e-06,unknown
94251207,14,14,0,0.0,5.453459157290462e-05,unknown
6595740,2,1,1,0.0,4.615111304151239e-06,unknown
79840192,1,1,0,0.0,5.392859276584852e-06,unknown
212704383,2,1,1,0.0,7.4424584573067215e-06,unknown
212366182,2,1,1,0.0,7.4424584573067215e-06,unknown
69254632,2,1,1,0.0,3.343260095862983e-06,unknown
230595355,3,2,1,0.0,5.206377044505095e-06,unknown
166890641,3,2,1,9.32437538953805e-08,1.159023807100007e-05,unknown
82304496,3,2,1,8.83361879008868e-08,1.4182521739826187e-05,unknown
232033533,2,0,2,0.0,1.7877641509957557e-06,2
230470022,2,1,1,0.0,2.5655121234293693e-06,unknown
230598493,2,0,2,0.0,1.7877641509957557e-06,unknown
43560505,50,49,1,0.0,5.779875648828594e-05,unknown
14878322,2,1,1,0.0,3.213583040635899e-06,unknown
230415750,3,1,2,0.0,4.639401930276042e-06,unknown
232073372,3,1,2,0.0,3.343260095862983e-06,unknown
75604335,2,1,1,0.0,3.108196611533618e-06,unknown
230473487,2,0,2,0.0,1.7877641509957557e-06,2
7089694,5,4,1,0.0,7.231999958031052e-06,2
231179595,1,0,1,0.0,1.7877641509957557e-06,2
3307463,2,2,0,0.0,1.5568297660748684e-05,unknown
230658679,2,0,2,0.0,1.7877641509957557e-06,unknown
232074274,2,1,1,0.0,2.5655121234293693e-06,unknown
5234549,3,2,1,0.0,8.195915803615534e-06,unknown
231177927,1,1,0,0.0,7.4424584573067215e-06,2
232431877,3,1,2,0.0,7.4424584573067215e-06,unknown
2758467,106,106,0,0.0,0.00033865275492263216,2
81273879,2,1,1,0.0,5.700480280359738e-06,unknown
232437171,3,3,0,0.0,1.051152633647075e-05,2
3878856,1,0,1,0.0,1.7877641509957557e-06,unknown
3878886,2,1,1,0.0,3.343260095862983e-06,2
231182296,3,1,2,0.0,3.382023273584715e-06,2
14660781,2,1,1,0.0,3.1620149934128193e-06,2
13334987,2,1,1,0.0,3.885944583967232e-06,unknown
5530452,1,1,0,0.0,5.935543764689101e-06,unknown
230519287,2,1,1,0.0,8.949373149924344e-06,unknown
194810163,1,1,0,0.0,7.4424584573067215e-06,unknown
230423321,3,1,2,0.0,7.4424584573067215e-06,unknown
232399276,3,1,2,0.0,4.615111304151239e-06,unknown
230659456,6,4,2,0.0,4.079478766159614e-06,unknown
230658142,134,134,0,0.0,0.00017320279370082497,unknown
230347386,2,1,1,0.0,2.5655121234293693e-06,unknown
37233982,2,1,1,0.0,3.343260095862983e-06,unknown
230427468,3,1,2,0.0,4.428629072071482e-06,unknown
43358239,1,0,1,0.0,1.7877641509957557e-06,2
230528714,2,1,1,0.0,3.343260095862983e-06,2
75605182,2,1,1,0.0,3.343260095862983e-06,unknown
75604052,2,1,1,0.0,4.428629072071482e-06,unknown
230585122,2,0,2,0.0,1.7877641509957557e-06,2
231208959,2,1,1,0.0,2.5655121234293693e-06,unknown
230455950,3,1,2,0.0,4.207354652138355e-06,unknown
2881274,97,97,0,0.0,0.00020927013075438397,2
232658952,3,1,2,0.0,2.5655121234293693e-06,unknown
232658962,3,1,2,0.0,2.836854367481494e-06,unknown
230530291,3,1,2,0.0,3.343260095862983e-06,unknown
2881273,143,143,0,0.0,0.00023798224982361018,2
75604616,2,1,1,0.0,3.343260095862983e-06,unknown
37232637,3,2,1,0.0,5.206377044505095e-06,unknown
230531551,3,1,2,0.0,7.4424584573067215e-06,unknown
4619363,2,1,1,0.0,4.615111304151239e-06,unknown
230516010,13,3,10,0.0,4.268555669050847e-05,unknown
230516478,2,1,1,0.0,3.7728476404426845e-06,2
232441583,2,1,1,0.0,9.492057638028595e-06,unknown
232441589,2,1,1,0.0,8.949373149924344e-06,unknown
5488136,2,1,1,0.0,3.350516966596618e-06,2
27553759,2,1,1,0.0,4.4390937574368815e-06,2
5529367,3,1,2,0.0,3.343260095862983e-06,unknown
232467632,4,4,0,0.0,1.322398372433412e-05,2
230658273,3,1,2,0.0,2.5655121234293693e-06,unknown
230658517,3,1,2,0.0,2.836854367481494e-06,unknown
231181128,3,1,2,0.0,5.392859276584852e-06,2
232453404,2,1,1,0.0,3.861653957842429e-06,2
232353601,3,1,2,0.0,4.639401930276042e-06,unknown
230447764,2,1,1,0.0,3.861653957842429e-06,2
230423018,3,1,2,0.0,2.5655121234293693e-06,2
232392936,2,1,1,0.0,2.836854367481494e-06,2
234419729,3,1,2,0.0,7.4424584573067215e-06,unknown
152498092,3,2,1,4.907565994493711e-08,1.587591866452357e-05,2
230531146,3,1,2,0.0,7.4424584573067215e-06,unknown
230545782,3,1,2,0.0,4.615111304151239e-06,unknown
230415003,2,1,1,0.0,4.428629072071482e-06,unknown
230414561,2,1,1,0.0,7.4424584573067215e-06,unknown
230453429,2,0,2,0.0,1.7877641509957557e-06,unknown
230459154,2,1,1,0.0,2.5655121234293693e-06,unknown
230425284,3,1,2,0.0,4.428629072071482e-06,unknown
83431059,2,1,1,0.0,4.615111304151239e-06,unknown
230530225,3,1,2,0.0,3.885944583967232e-06,unknown
230095969,2,1,1,0.0,3.861653957842429e-06,unknown
230440353,4,2,2,0.0,1.6653666636957182e-05,unknown
230440535,2,1,1,0.0,3.343260095862983e-06,unknown
230440534,3,2,1,0.0,1.363983725172194e-05,unknown
232022496,3,1,2,1.4722697983481132e-08,4.615111304151239e-06,unknown
232022773,2,1,1,4.907565994493711e-09,3.590311713790304e-06,unknown
230348238,2,0,2,0.0,1.7877641509957557e-06,unknown
3409584,1,0,1,0.0,1.7877641509957557e-06,unknown
89273,289,1,288,0.0,2.3062627992848314e-06,2
3906238,1,1,0,0.0,1.7944213926749339e-06,2
230973596,2,1,1,0.0,1.7944213926749339e-06,2
232455956,2,1,1,0.0,3.350516966596618e-06,2
38062994,1,0,1,0.0,1.7877641509957557e-06,2
80044108,3,3,0,0.0,7.731353974749976e-06,unknown
230423318,2,0,2,0.0,1.7877641509957557e-06,2
146601928,2,1,1,0.0,5.935543764689101e-06,unknown
232368272,3,1,2,0.0,7.4424584573067215e-06,unknown
232453639,3,2,1,0.0,4.89875604073021e-06,2
232453630,2,1,1,0.0,5.513998048279979e-06,2
51860219,1,1,0,0.0,1.7944213926749339e-06,2
230521273,14,10,4,0.0,3.695325830594196e-05,unknown
230522097,1,1,0,0.0,6.6425145258052425e-06,2
230658997,1,0,1,0.0,1.7877641509957557e-06,unknown
1913117,28,0,28,0.0,1.7877641509957557e-06,2
232909272,2,1,1,0.0,1.8433175775981564e-06,2
231179660,2,1,1,0.0,2.5655121234293693e-06,unknown
231177063,2,1,1,0.0,3.885944583967232e-06,2
206222134,2,0,2,0.0,1.7877641509957557e-06,2
192431356,2,1,1,0.0,2.5655121234293693e-06,2
230967090,2,1,1,0.0,4.639401930276042e-06,unknown
230439439,3,1,2,0.0,5.935543764689101e-06,unknown
230658277,2,0,2,0.0,1.7877641509957557e-06,unknown
230563355,1,1,0,0.0,2.5655121234293693e-06,unknown
230455752,3,1,2,0.0,4.639401930276042e-06,unknown
232416085,3,1,2,0.0,3.861653957842429e-06,unknown
232038004,2,0,2,0.0,1.7877641509957557e-06,unknown
232037822,4,2,2,0.0,3.705049754599149e-06,unknown
230471902,5,4,1,0.0,1.4466166476405157e-05,unknown
230471916,5,3,2,0.0,2.9258796582448827e-05,unknown
232393313,3,1,2,1.4722697983481132e-08,5.392859276584852e-06,unknown
230511916,2,1,1,4.907565994493711e-09,3.861653957842429e-06,unknown
200165930,3,2,1,5.889079193392453e-08,1.159023807100007e-05,2
39617084,3,2,1,5.398322593943082e-08,1.2319404791184077e-05,unknown
230432611,2,0,2,0.0,1.7877641509957557e-06,2
230966618,2,1,1,0.0,2.5655121234293693e-06,2
230512979,2,2,0,0.0,3.3499173375421612e-06,2
230530178,3,1,2,0.0,3.885944583967232e-06,unknown
232070456,3,1,2,0.0,3.861653957842429e-06,unknown
232436036,3,1,2,0.0,4.8864535482033635e-06,unknown
230674241,3,3,0,0.0,8.349883484967421e-06,2
230330969,3,1,2,0.0,5.392859276584852e-06,unknown
232918438,9,8,1,0.0,1.3755959490427177e-05,unknown
230335026,1,0,1,0.0,1.7877641509957557e-06,unknown
232698839,3,2,1,1.3250428185133018e-07,4.121008068296597e-06,unknown
230918484,1,0,1,0.0,1.7877641509957557e-06,2
40297647,2,2,0,0.0,4.121008068296597e-06,2
230459131,2,1,1,0.0,2.5655121234293693e-06,unknown
230559672,1,1,0,0.0,3.885944583967232e-06,unknown
230447404,2,1,1,0.0,1.7944213926749339e-06,2
3877919,2,1,1,0.0,3.350516966596618e-06,2
54492406,1,0,1,0.0,1.7877641509957557e-06,unknown
